block_number,index,sell_amount,buy_amount,path,output_amounts
11093000,3,-1,7724282873,"[u'1dd80016e3d4ae146ee2ebb484e8edd92dacc4ce', u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', u'dac17f958d2ee523a2206206994597c13d831ec7']","[5126709960000000000000000L, 21074643206548816116L, 7762279780]"
11093000,18,-1,41149848128574308352,"[u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', u'89ee58af4871b474c30001982c3d7439c933c838']","[6183197847745456128, 41252980580024366704L]"
11093000,25,-1,1704739243575219535,"[u'd5525d397898e5502075ea5e830d8914f6f0affe', u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']","[200000000, 1713262939793095633]"
11093000,26,-1,8853749434023502542,"[u'ed91879919b71bb6905f23af0a68d231ecf87b14', u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']","[13484764076260000000000L, 8936089303759921116]"
11093000,28,-1,5350571583480340933,"[u'a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']","[2000000000, 5404086386706886814]"
11093000,57,1287773005011224958,-1,"[u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', u'1de5e000c41c8d35b9f1f4985c23988f05831057']","[1281366174140522347, 105000000000000000000000L]"
11093000,72,-1,4235999063356580829830,"[u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', u'0d7be15772c94418140accb3e2dae1c2d643feeb']","[1920000000000000000, 4871398922860067954305L]"
11093000,79,-1,13778855580054089002,"[u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', u'468ab3b1f63a1c14b361bc367c3cc92277588da1']","[3950000000000000000, 14286888829453450777L]"
11093000,89,-1,354260847547234889847,"[u'c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', u'a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', u'aa9d866666c2a3748d6b23ff69e63e52f08d9ab4']","[494000000000000000, 181730444, 387719221502711094096L]"

